Grid Size,Processes,Average Time (s)
512x512,1,4.63807880000000000000
512x512,2,5.46615300000000000000
512x512,4,4.58875420000000000000
512x512,8,10.63155560000000000000
512x512,16,16.17330580000000000000
512x512,32,20.17376360000000000000
512x512,64,43.33567200000000000000
512x512,128,85.22452800000000000000
1024x1024,1,20.01050600000000000000
1024x1024,2,12.26472700000000000000
1024x1024,4,8.09342520000000000000
1024x1024,8,12.63433460000000000000
1024x1024,16,16.55659000000000000000
1024x1024,32,19.33338000000000000000
1024x1024,64,41.51686780000000000000
1024x1024,128,84.33153680000000000000
2048x2048,1,72.95258000000000000000
2048x2048,2,37.72228240000000000000
2048x2048,4,19.88265040000000000000
2048x2048,8,23.79757640000000000000
2048x2048,16,28.55460920000000000000
2048x2048,32,29.00356820000000000000
2048x2048,64,44.99813340000000000000
2048x2048,128,90.26856240000000000000
4096x4096,1,291.29913680000000000000
4096x4096,2,150.41643620000000000000
4096x4096,4,79.51773360000000000000
4096x4096,8,87.87791900000000000000
4096x4096,16,94.00390440000000000000
4096x4096,32,93.66145400000000000000
4096x4096,64,118.20808960000000000000
4096x4096,128,137.28997740000000000000
